Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
2.02E+12,534340,193560,-0.060658,51.624832,1,3,2,1,1,32,3,1010,1,30,1,4,4,154,0,4,4,2,2,0,0,1,1
2.02E+12,533680,187820,-0.072372,51.573408,1,2,1,1,1,4,3,107,3,20,6,2,3,10,0,5,4,1,2,0,0,1,1
2.02E+12,520940,192820,-0.254393,51.621219,1,2,1,1,1,30,3,1,3,50,1,2,3,5109,0,4,4,2,2,0,0,1,1
2.02E+12,533910,190610,-0.067992,51.598425,1,3,2,4,1,31,3,1010,6,30,6,2,4,137,0,5,4,2,2,0,0,1,1
2.02E+12,541590,191070,0.043004,51.600682,1,3,2,1,1,14,3,1009,6,30,6,2,3,113,0,4,4,2,2,0,0,1,1
2.02E+12,538080,176330,-0.013419,51.469098,1,3,2,1,1,6,3,2211,6,20,6,4,3,2211,0,0,4,2,2,0,0,1,1
2.02E+12,519120,179410,-0.28521,51.501085,1,3,2,1,1,27,3,406,3,40,6,2,3,4000,0,5,4,2,2,0,0,1,1
2.02E+12,512620,183870,-0.377391,51.542502,1,3,2,1,2,27,3,40,7,30,5,4,3,40,0,0,4,1,2,0,0,1,1
2.02E+12,530350,179670,-0.123411,51.500946,1,3,3,3,1,1,3,302,6,30,6,2,3,3211,0,0,4,1,2,0,0,1,1
2.02E+12,531700,184730,-0.102082,51.546106,1,3,2,5,1,3,3,1200,6,30,1,2,3,1200,0,4,4,2,2,0,0,1,1
2.02E+12,531800,166580,-0.107402,51.382973,1,3,1,1,2,20,3,235,6,30,6,4,3,213,0,0,1,1,1,0,0,1,1
2.02E+12,540570,190120,0.027906,51.5924,1,3,2,1,2,14,4,168,2,30,3,4,4,168,0,1,1,2,2,0,0,1,1
2.02E+12,522300,179370,-0.239432,51.500047,1,3,1,1,1,11,4,408,6,20,1,4,3,402,2,1,4,2,2,0,0,1,1
2.02E+12,530480,178010,-0.122152,51.485998,1,2,1,1,1,9,3,203,2,30,7,2,3,3204,0,4,4,2,2,0,0,1,1
2.02E+12,534960,184820,-0.055062,51.546144,1,3,1,1,2,4,3,107,3,30,3,2,4,113,2,4,1,1,1,0,0,1,1
2.02E+12,527900,181970,-0.157855,51.522175,1,2,1,1,2,1,3,501,3,30,3,2,3,501,0,5,4,1,1,4,0,1,1
2.02E+12,524160,175490,-0.214012,51.464771,1,3,1,1,2,10,3,3209,6,30,7,2,3,219,0,4,1,1,1,0,0,1,1
2.02E+12,528270,164600,-0.158814,51.365986,1,2,1,1,2,21,3,232,6,30,3,4,3,232,0,0,4,1,4,0,0,1,1
2.02E+12,528760,189670,-0.142648,51.591178,1,3,2,1,3,31,3,504,1,20,1,4,4,550,0,1,4,1,1,0,0,1,1
2.02E+12,537500,182880,-0.019211,51.528099,1,3,1,1,3,5,3,11,3,30,7,2,4,142,0,1,4,8,4,0,2,1,1
2.02E+12,556860,192330,0.26387,51.607961,1,3,2,1,2,15,3,12,1,60,1,2,1,25,0,0,1,1,1,0,0,2,1
2.02E+12,528580,182130,-0.148,51.523459,1,3,3,1,3,1,3,501,3,30,6,2,3,501,0,0,1,1,1,0,0,1,1
2.02E+12,510470,176810,-0.410592,51.47947,1,3,2,3,3,25,3,4,3,30,3,2,3,4,0,0,1,1,1,0,0,1,1
2.02E+12,530540,176510,-0.121842,51.472504,1,2,2,1,3,9,3,3,6,30,3,2,3,203,0,5,1,1,4,0,0,1,1
2.02E+12,518330,166670,-0.300841,51.386747,1,3,2,1,3,23,3,243,1,30,1,4,3,243,0,4,1,1,2,0,0,1,1
2.02E+12,530990,175260,-0.115829,51.461167,1,2,1,1,3,9,3,23,3,30,6,2,3,2217,0,5,1,1,1,0,0,1,1
2.02E+12,528680,178690,-0.147814,51.492521,1,2,1,1,2,1,3,3214,6,30,6,2,3,3214,0,5,4,1,1,0,0,1,1
2.02E+12,532580,165360,-0.096655,51.371828,1,3,2,1,3,20,3,212,3,30,1,2,3,232,0,5,4,8,2,0,0,1,1
2.02E+12,530010,175690,-0.12977,51.465257,1,3,1,1,3,9,3,3,3,30,7,2,4,221,0,4,4,1,1,0,6,1,1
2.02E+12,530100,171800,-0.129903,51.430277,1,3,2,1,4,9,3,23,3,30,7,2,3,23,0,5,4,1,1,0,0,1,1
2.02E+12,527910,181950,-0.157718,51.521993,1,3,2,1,4,1,3,501,3,30,6,2,3,41,0,5,1,1,1,0,0,1,1
2.02E+12,530800,189360,-0.113332,51.587923,1,3,1,1,4,31,3,504,3,20,3,4,3,103,0,5,1,1,1,0,0,1,1
2.02E+12,535960,180890,-0.042165,51.510589,1,3,1,1,4,5,3,1203,3,30,3,2,3,1203,0,4,4,1,2,0,0,1,1
2.02E+12,548450,189040,0.141123,51.580677,1,3,2,2,3,16,3,1112,3,50,6,2,3,12,0,0,4,1,2,0,0,1,1
2.02E+12,509810,187770,-0.416678,51.578109,1,3,2,1,4,26,4,466,6,30,1,4,4,466,0,0,1,1,1,0,0,1,1
2.02E+12,533890,181340,-0.071806,51.515127,1,2,2,1,4,5,3,11,6,30,6,2,3,1202,0,5,1,2,2,0,0,1,1
2.02E+12,542980,165030,0.052527,51.366343,1,2,1,1,3,19,3,21,3,30,9,2,3,232,0,0,4,1,1,0,0,1,1
2.02E+12,548550,183460,0.140211,51.530514,1,3,1,1,4,16,3,1306,7,30,1,2,3,13,0,5,1,1,2,0,0,1,1
2.02E+12,534930,181900,-0.056612,51.519912,1,3,1,1,4,5,3,107,3,30,7,2,3,11,0,5,1,1,1,0,0,1,1
2.02E+12,530110,193000,-0.121937,51.620793,1,3,2,2,4,32,3,1004,6,40,7,2,4,1452,0,0,1,1,1,0,0,1,1
2.02E+12,531830,184420,-0.100324,51.54329,1,3,1,1,4,3,3,1200,6,20,7,2,3,1200,0,5,4,1,1,0,0,1,1
